        RA       DEC                     NAME      S1400    e_S1400    P1400  POLANG   e_P1400  e_POLANG       S74        e_S74     3CNAME         S600      P600      BETA     GAMMA
 174.99417  65.79642                  2E_2503     3.0951   0.102600  0.07380    79.3  0.000630       0.1     30.14     3.060000   3C_263.0     5.963925  0.014603 -0.774118  0.000000
 204.53362  -6.45311            133808-062711     2.9585   0.088800  0.06613   -41.2  0.000480       0.1     33.09     3.370000       NONE     5.932873  0.011857 -0.821230  0.000000
   7.43796  63.97819                  3C_11.1     2.9918   0.105500  0.01292    81.5  0.000560       0.8     31.20     3.210000   3C__11.1     5.879825  0.002435 -0.797420  0.000000
   3.70392  61.29528            001448+611743     4.0393   0.121200  0.09071   -85.0  0.000510       0.1     14.82     1.510000       NONE     5.874842  0.035959 -0.442121  0.000000
 105.53067  25.21867                   3C_172     2.9506   0.072635  0.20195   -57.3  0.000729       0.1     32.10     2.324521   3C_172.0     5.869983  0.036930 -0.811808  0.000000
  35.92954  40.01472                    3C_65     3.1085   0.109300  0.02470   -56.6  0.000450       0.3     27.78     2.830000   3C__65.0     5.843364  0.005196 -0.744917  0.000000
 190.99012  16.38131                 3C_275.1     2.8958   0.101800  0.06487   -74.8  0.000470       0.1     32.87     3.290000   3C_275.1     5.831874  0.011509 -0.826247  0.000000
  19.21429 -20.86850            011651-205206     4.0913   0.122700  0.00414    30.6  0.000450       2.0     13.76     1.400000       NONE     5.803133  0.001746 -0.412529  0.000000
 348.20208   5.27806                   3C_458     3.0587   0.074248  0.27669   -16.8  0.002751       0.1     27.70     2.800000     3C_458     5.771774  0.057653 -0.749429  0.000000
   6.12550 -29.48025            002430-292848     2.9228   0.095000  0.05408   -28.1  0.000810       0.2     30.97     3.170000       NONE     5.770656  0.010077 -0.802839  0.000000
 101.35033  21.36269    ICRF_J064524.0+212151     2.5900   0.087100  0.01855    83.5  0.000680       0.6     40.87     4.150000     3C_166     5.735488  0.002603 -0.938295  0.000000
  27.64246 -29.54517            015034-293242     2.9745   0.072892  0.17074   -78.9  0.001054       0.1     28.70     2.890000       NONE     5.716347  0.034007 -0.770985  0.000000
 181.60283  64.22703                 3C_268.3     3.7194   0.111600  0.00201    56.1  0.000430       4.1     16.51     1.690000   3C_268.3     5.714849  0.000696 -0.506912  0.000000
 215.27387  41.74714                   3C_299     3.1469   0.111200  0.00882    73.3  0.000470       1.0     24.94     2.500000   3C_299.0     5.714276  0.002021 -0.704061  0.000000
  61.95183 -12.19261            040748-121133     2.9402   0.098400  0.03372   -24.6  0.000600       0.3     29.46     3.000000       NONE     5.712210  0.006538 -0.783819  0.000000
 165.51629  -1.27175                   3C_249     2.7996   0.096200  0.12420    80.9  0.000520       0.1     33.13     3.390000   3C_249.0     5.706239  0.021392 -0.840417  0.000000
 319.15125 -20.93108            211636-205551     2.7916   0.091800  0.23105    20.1  0.000730       0.0     33.14     3.390000       NONE     5.695123  0.039706 -0.841493  0.000000
 188.84571  21.33842                 3C_274.1     2.9185   0.065500  0.44880   -26.2  0.001351       0.0     29.63     2.980000   3C_274.1     5.691598  0.086210 -0.788296  0.000000
 284.84750  12.98689                   3C_394     2.8759   0.086300  0.01650    29.5  0.000530       0.6     30.50     3.050000     3C_394     5.679506  0.003073 -0.803140  0.000000
 111.77117  -2.06819                   3C_180     2.7849   0.067451  0.09494    77.4  0.001304       0.2     32.84     3.310000   3C_180.0     5.670510  0.016393 -0.839217  0.000000
   9.03287  58.93025            003607+585548     2.5419   0.085000  0.05768    76.3  0.000740       0.2     41.04     4.200000       NONE     5.666237  0.007964 -0.946082  0.000000
 185.14117  33.71969             7C_1218+3359     2.8459   0.085400  0.16033   -80.9  0.000440       0.1     30.80     3.080000   3C_270.1     5.653193  0.029428 -0.810035  0.000000
 231.02350  54.47178                 3C_319.0     2.6240   0.088200  0.11199    72.4  0.001510       0.1     37.07     3.780000     3C_319     5.628446  0.017004 -0.900667  0.000000
 120.38967  14.24506                   3C_190     2.7341   0.082000  0.00224    89.3  0.000400       3.5     33.34     3.330000     3C_190     5.621111  0.000378 -0.850618  0.000000
 266.80783 -19.35994            174713-192135     3.5627   0.091428  0.11415    81.6  0.000990       0.7     17.30     1.920000       NONE     5.617564  0.037066 -0.537449  0.000000
  61.39142 -13.13733            040533-130814     4.2178   0.126500  0.08736    27.2  0.000420       0.1     11.19     1.120000       NONE     5.587285  0.043620 -0.331855  0.000000
 247.22208  44.31811                   3C_337     3.0187   0.099900  0.12042   -12.4  0.000610       0.1     25.24     2.570000     3C_337     5.566730  0.026559 -0.722274  0.000000
 256.17929  60.74711              2A_1705+609     3.0747   0.117700  0.01563    35.2  0.000530       0.6     23.58     2.410000     3C_351     5.530546  0.003666 -0.692884  0.000000
  59.87350  50.96403            035929+505750     4.2961   0.128900  0.06069    83.9  0.000550       0.2     10.13     1.010000       NONE     5.500875  0.032956 -0.291750  0.000000
 227.72312  -5.71864            151053-054307     3.5693   0.107100  0.04356    23.6  0.000490       0.2     15.90     1.630000       NONE     5.489828  0.015040 -0.508118  0.000000
  10.22921  33.16869                    3C_19     3.2234   0.096700  0.00516   -53.0  0.000450       1.7     20.10     2.010000   3C__19.0     5.462403  0.001402 -0.622511  0.000000
 232.96129  24.04536    2XMM_J153143.4+240420     2.8923   0.101700  0.23666    32.6  0.000450       0.0     26.02     2.650000     3C_321     5.447360  0.049545 -0.747174  0.000000
  29.30350  28.86064                  3C_55.0     2.6233   0.065378  0.12574   -71.4  0.000658       0.1     32.26     3.270000   3C__55.0     5.406447  0.021073 -0.853489  0.000000
 217.13008  -1.40242                 3C_300.1     3.1574   0.094700  0.00797   -89.1  0.000450       1.1     20.33     2.030000   3C_300.1     5.400231  0.002117 -0.633417  0.000000
 146.06833   9.77200                 3C_226.0     2.3937   0.078600  0.07710   -77.4  0.000700       0.1     39.76     4.080000   3C_226.0     5.379707  0.010432 -0.955737  0.000000
 107.32392  74.82367                 3C_173.1     2.7676   0.086900  0.07649   -22.7  0.001170       0.2     27.71     2.810000   3C_173.1     5.375732  0.014839 -0.783567  0.000000
 326.85421  15.34464                   3C_437     2.9336   0.095700  0.12114     7.0  0.000750       0.1     23.79     2.420000   3C_437.0     5.362351  0.027305 -0.711877  0.000000
  55.87492   4.96403                   2E_833     2.8082   0.094100  0.04730   -12.2  0.000620       0.2     26.11     2.660000   3C__93.0     5.339444  0.009673 -0.758385  0.000000
 116.88062 -19.29436            074731-191739     2.3720   0.083700  0.00665   -82.6  0.000540       1.5     39.06     3.970000       NONE     5.317657  0.000905 -0.952793  0.000000
 133.28679  13.88203                 3C_208.1     2.3643   0.070900  0.01473   -29.5  0.000440       0.6     38.78     3.950000   3C_208.1     5.294375  0.002011 -0.951452  0.000000
 100.77925  23.31919                   3C_165     2.5817   0.086800  0.00917   -36.3  0.001770       1.9     30.70     3.120000     3C_165     5.269471  0.001574 -0.842067  0.000000
 324.45862 -20.70897            213750-204232     3.7321   0.112000  0.00204    -3.9  0.000460       4.4     12.32     1.260000       NONE     5.265266  0.000872 -0.406186  0.000000
  22.12608  29.04994                    3C_42     2.8898   0.097000  0.07222    65.1  0.000580       0.1     23.03     2.360000     3C__42     5.255830  0.016482 -0.705951  0.000000
 330.83675  62.67606                   3C_440     2.8170   0.084500  0.08895   -36.6  0.000570       0.1     24.47     2.490000     3C_440     5.252238  0.019092 -0.735257  0.000000
 106.63958 -23.19392            070633-231138     3.5929   0.107800  0.00485    23.3  0.000470       1.9     13.31     1.330000       NONE     5.240141  0.001909 -0.445403  0.000000
 215.70379 -27.46600            142248-272757     2.2688   0.078300  0.06253    14.9  0.000540       0.2     40.52     4.120000       NONE     5.206691  0.008035 -0.980403  0.000000
 317.09342  49.61039                 3C_428.0     2.4074   0.074800  0.00235   -47.3  0.001550       7.2     34.49     3.510000     3C_428     5.184738  0.000353 -0.905434  0.000000
 216.37146 -29.99872            142529-295955     2.4020   0.084600  0.02226    48.8  0.000510       0.4     32.87     3.350000       NONE     5.105186  0.003457 -0.889835  0.000000
  38.11962  34.40164                 3C_68.1A     2.6003   0.090700  0.12941   -82.8  0.000480       0.1     26.94     2.740000  3C__68.1A     5.100757  0.024502 -0.795189  0.000000
 288.98642  30.33136     87GB_191400.2+301428     2.9724   0.092300  0.27772    60.0  0.001570       0.1     19.02     1.950000   3C_399.1     5.074703  0.074098 -0.631299  0.000000
  95.42121  14.53664                   3C_158     2.2362   0.067100  0.00628   -22.4  0.000510       1.6     37.86     3.790000   3C_158.0     5.053468  0.000838 -0.962232  0.000000
 130.19875  13.20664    2XMM_J084047.6+131223     2.6130   0.078400  0.04842   -73.3  0.000440       0.2     25.66     2.610000   3C_207.0     5.047175  0.009524 -0.776976  0.000000
  57.44512   5.85433            034946+055115     3.2596   0.084771  0.15698   -14.9  0.000693       0.1     14.82     1.510000       NONE     5.043082  0.053419 -0.515064  0.000000
 319.54454 -30.32086            211810-301915     2.5420   0.089800  0.11805   -22.8  0.000480       0.1     27.32     2.820000       NONE     5.039387  0.021775 -0.807666  0.000000
 331.52017  29.48942                   3C_441     2.5264   0.084900  0.09455    33.3  0.000630       0.1     27.34     2.780000     3C_441     5.018412  0.017355 -0.810008  0.000000
  22.49912  23.63872                    3C_43     2.9409   0.088200  0.00486    36.4  0.000420       1.6     18.76     1.920000     3C__43     5.016425  0.001300 -0.630241  0.000000
  74.60917 -30.12217            045826-300719     2.6601   0.080500  0.12290   -41.3  0.026880       0.6     23.62     2.370000       NONE     4.991180  0.025970 -0.742724  0.000000
 245.99808 -11.67864            162359-114043     2.7256   0.096200  0.00500    13.8  0.000540       2.1     22.00     2.250000       NONE     4.975430  0.001131 -0.710285  0.000000
 312.05021   7.02111                   3C_424     2.4177   0.084300  0.00322   -31.0  0.000520       2.9     29.44     3.000000     3C_424     4.968585  0.000543 -0.850136  0.000000
   5.10550  15.68131                    2C_26     2.1800   0.065400  0.13754   -18.9  0.000430       0.1     37.64     3.770000   3C___9.0     4.954406  0.018104 -0.968906  0.000000
  45.82058  16.43442                  3C_76.1     3.0753   0.069102  0.58470    72.0  0.004599       0.1     15.92     1.620000   3C__76.1     4.939289  0.181407 -0.559212  0.000000
 151.29775 -21.74819            100511-214453     2.1576   0.048072  0.00285   -14.4  0.000892       7.9     38.12     3.870000       NONE     4.936108  0.000369 -0.976729  0.000000
  36.05112  27.83653                    3C_67     3.0242   0.090700  0.01696    59.3  0.000440       0.5     16.49     1.680000     3C__67     4.930458  0.005071 -0.576875  0.000000
 258.69925 -25.24328            171447-251435     2.6906   0.080700  0.01377   -44.4  0.000700       1.0     21.77     2.630000       NONE     4.914958  0.003109 -0.711107  0.000000
 164.74454  43.02325                   3C_247     2.8751   0.086300  0.11991    67.3  0.000390       0.1     18.45     1.880000     3C_247     4.912626  0.031928 -0.632270  0.000000
 123.86588  -3.14072                 3C_196.1     1.9626   0.058900  0.00194   -13.1  0.000450       4.5     47.02     4.780000   3C_196.1     4.901881  0.000202 -1.080315  0.000000
 114.85054  70.38639                   3C_184     2.5816   0.077400  0.07645    24.9  0.000410       0.1     23.66     2.370000     3C_184     4.888268  0.015795 -0.753488  0.000000
 184.37429   3.61222            121729+033644     2.4115   0.060459  0.01096   -29.0  0.002059       1.9     27.98     2.075476       NONE     4.887345  0.001914 -0.833709  0.000000
 237.45408  21.42753                 3C_324.0     2.5220   0.075700  0.07242    88.4  0.000480       0.1     24.67     2.470000   3C_324.0     4.865933  0.014284 -0.775650  0.000000
  21.87600 -14.04919            012730-140257     2.6110   0.092200  0.03746    68.8  0.000440       0.2     22.52     2.290000       NONE     4.858198  0.008081 -0.732841  0.000000
 143.16425  79.10817                 3C_220.1     2.2401   0.075800  0.00471    28.8  0.000550       2.0     32.59     3.320000   3C_220.1     4.845836  0.000700 -0.910659  0.000000
 343.76583  13.22597                 3C_455.0     2.7063   0.081200  0.05582    -7.5  0.000450       0.2     20.36     2.100000   3C_455.0     4.841032  0.013272 -0.686353  0.000000
 230.02292  20.26825                 3C_318.0     2.6880   0.080600  0.00268    59.8  0.000450       3.2     20.34     2.040000     3C_318     4.816344  0.000635 -0.688327  0.000000
 220.75604  52.02728  2MASX_J14430282+5201368     2.5430   0.098800  0.13912    86.7  0.000490       0.1     23.22     2.320000     3C_303     4.810037  0.028819 -0.752227  0.000000
 193.54867  27.62575                   COMA_A     2.9239   0.097700  0.05431    14.3  0.000610       0.2     16.33     1.640000   3C_277.3     4.799989  0.015964 -0.585031  0.000000
  91.64021 -20.36700            060633-202201     2.9187   0.087600  0.01178   -51.7  0.000470       0.8     16.35     1.640000       NONE     4.795603  0.003455 -0.586053  0.000000
 206.35992  49.77575                   3C_289     2.3983   0.071900  0.00945    82.0  0.000370       0.8     26.40     2.690000   3C_289.0     4.787418  0.001714 -0.815807  0.000000
 183.87417  53.59836            121529+533554     2.7550   0.089300  0.05246   -81.7  0.000760       0.2     18.70     1.900000       NONE     4.784177  0.013421 -0.651361  0.000000
 166.59242 -21.15022            110622-210900     2.5248   0.075700  0.03446    66.7  0.000470       0.3     23.14     2.320000       NONE     4.780750  0.007119 -0.753496  0.000000
 318.20383  62.25011                   3C_429     2.5599   0.076800  0.00959    85.2  0.000470       1.0     22.36     2.280000     3C_429     4.780493  0.002050 -0.737138  0.000000
 350.25837 -16.38478            232102-162305     2.3574   0.070700  0.00172    71.3  0.000460       5.1     26.26     2.630000       NONE     4.721918  0.000309 -0.819848  0.000000
  64.01804 -20.94108            041604-205627     2.7782   0.083300  0.03184    83.3  0.000430       0.3     17.49     1.750000       NONE     4.720928  0.008594 -0.625757  0.000000
  63.32358  74.85175            041317+745106     2.8465   0.100400  0.00336    35.8  0.000490       2.7     16.38     1.640000       NONE     4.713345  0.000967 -0.595195  0.000000
  91.06096 -31.93239            060414-315556     2.9596   0.104300  0.02966    10.4  0.000490       0.3     14.82     1.520000       NONE     4.708131  0.009423 -0.547903  0.000000
 175.39392 -28.84781            114134-285052     2.5707   0.090800  0.07458   -59.5  0.000490       0.1     20.98     2.140000       NONE     4.707619  0.016735 -0.714039  0.000000
 246.16425  23.75486                 4C_23.43     2.6127   0.089700  0.04399    35.2  0.000490       0.2     20.13     2.050000   3C_336.0     4.705816  0.010284 -0.694461  0.000000
  81.67729  32.83286                   3C_141     2.1676   0.065000  0.10355    25.4  0.000550       0.1     31.76     3.220000   3C_141.0     4.698609  0.015319 -0.913074  0.000000
 134.67296  14.16217                   3C_212     2.3708   0.071100  0.00407    43.9  0.000420       2.0     25.27     2.570000     3C_212     4.688794  0.000755 -0.804850  0.000000
 348.11729   9.32461                   3C_456     2.4888   0.074700  0.02764    31.1  0.000440       0.3     22.20     2.270000     3C_456     4.675911  0.005822 -0.744276  0.000000
 129.77708  57.90372                  2E_2019     2.2577   0.079100  0.11257    38.4  0.000460       0.1     26.91     2.740000   3C_205.0     4.611263  0.019290 -0.842862  0.000000
 133.25112 -20.79064            085300-204726     2.2920   0.080900  0.04574    28.8  0.000480       0.2     25.53     2.600000       NONE     4.590844  0.008225 -0.819829  0.000000
 244.43033  32.38400  2MASX_J16174254+3222344     2.5985   0.069125  0.09688   -50.9  0.000899       0.2     18.68     1.890000   3C_332.0     4.587688  0.023793 -0.670888  0.000000
 166.05092  76.98325                  2E_2389     2.3394   0.079200  0.03844   -69.1  0.000580       0.3     24.15     2.420000   3C_249.1     4.584222  0.007297 -0.793966  0.000000
 262.07467  31.76997                 4C_31.47     2.7096   0.072240  0.04741    41.6  0.000877       0.5     16.77     1.700000   3C_357.0     4.581809  0.012953 -0.619963  0.000000
 151.50725  34.90289  2MASX_J10060176+3454104     3.2366   0.097100  0.00704    72.5  0.000410       1.2     10.67     1.100000     3C_236     4.564449  0.003012 -0.405730  0.000000
 214.19504  10.77003                 NGC_5532     2.8993   0.062377  0.27669    41.0  0.011660       0.5     13.97     1.450000   3C_296.0     4.561342  0.090342 -0.534815  0.000000
 160.41254   2.70917            104139+024233     2.7101   0.081300  0.01104    19.4  0.000430       0.8     15.79     1.620000       NONE     4.503580  0.003149 -0.599420  0.000000
 175.28429   1.23825            114108+011417     2.6908   0.080700  0.00456   -51.1  0.000490       2.0     15.92     1.630000       NONE     4.491327  0.001286 -0.604639  0.000000
 107.94692 -20.72089            071147-204315     2.0560   0.070600  0.01538    84.1  0.000590       0.7     30.60     3.120000       NONE     4.476845  0.002250 -0.918397  0.000000
 112.04275  14.62667                 3C_181.0     2.3039   0.069100  0.04427    22.5  0.000460       0.2     22.94     2.300000     3C_181     4.467919  0.008622 -0.781684  0.000000
  90.96483  21.99375            060351+215937     2.7716   0.083100  0.02292   -59.1  0.000550       0.5     14.45     1.490000       NONE     4.460624  0.007075 -0.561625  0.000000
  71.57429  39.75083                   3C_125     2.0238   0.060700  0.04163    50.9  0.000540       0.2     31.30     3.190000     3C_125     4.455772  0.005926 -0.931459  0.000000
 245.08917  17.60814                  2E_3648     1.9939   0.063100  0.06131   -19.6  0.001270       0.3     31.72     3.220000   3C_334.0     4.425780  0.008554 -0.941055  0.000000
 108.26404  11.77272                  2E_1790     1.6937   0.058700  0.01257   -88.6  0.000520       0.7     47.42     4.800000   3C_175.0     4.424558  0.001173 -1.133314  0.000000
 209.25629   1.07769            135701+010439     2.4004   0.079400  0.03852    11.9  0.000720       0.3     19.94     2.030000       NONE     4.418235  0.008535 -0.720060  0.000000
  53.56542  -1.19253                   2C_317     1.7344   0.061700  0.00125    -2.3  0.000960      10.3     44.13     4.450000     3C__89     4.407695  0.000125 -1.100782  0.000000
   0.84167 -17.45317            000322-172711     2.4148   0.072400  0.03379   -53.4  0.000410       0.2     19.13     1.910000       NONE     4.384375  0.007744 -0.703921  0.000000
 343.02387  64.66950          IRAS_22494+6423     2.2932   0.080700  0.00451    -2.5  0.000600       2.5     21.63     2.170000   3C_454.2     4.378315  0.000913 -0.763268  0.000000
 223.75558  -4.36178                 3C_306.1     2.1043   0.052050  0.20349    60.9  0.000757       0.1     26.73     2.700000   3C_306.1     4.377516  0.033325 -0.864511  0.000000
 351.72696  -2.03619            232654-020210     2.3705   0.075400  0.14896   -17.8  0.003690       0.2     19.91     2.010000       NONE     4.377090  0.032748 -0.723811  0.000000
 119.61917  37.78717                 NGC_2484     2.7179   0.084000  0.09989   -49.2  0.006680       0.3     14.20     1.430000     3C_189     4.376863  0.030789 -0.562344  0.000000
 343.72479  57.94433            225453+575639     2.7962   0.083900  0.01708    87.4  0.000560       0.6     13.19     1.420000       NONE     4.372288  0.005662 -0.527589  0.000000
  11.88804 -25.28808            004733-251717     2.9938   0.113500  0.00228    51.8  0.000600       4.3     10.87     1.120000       NONE     4.341161  0.000911 -0.438569  0.000000
 209.26821  19.31892            135704+191908     2.5856   0.088000  0.14731   -89.4  0.000530       0.1     15.25     1.560000       NONE     4.311860  0.041651 -0.603580  0.000000
  73.19300  52.06614                   3C_130     2.5474   0.059904  0.00217    62.3  0.003667      23.8     15.80     1.610000     3C_130     4.310201  0.000592 -0.620692  0.000000
 126.85583  29.31244                   3C_200     2.0431   0.071700  0.07587    75.8  0.000470       0.1     26.78     2.680000     3C_200     4.288817  0.012151 -0.875185  0.000000
 137.21067  37.80561                   3C_217     2.0864   0.062600  0.04362    29.5  0.000450       0.2     25.38     2.590000     3C_217     4.286479  0.007367 -0.849790  0.000000
 219.23779   3.40342            143657+032412     2.7973   0.083900  0.01913    19.9  0.000450       0.5     12.26     1.230000       NONE     4.282323  0.006682 -0.502587  0.000000
 141.76267  39.03908            092703+390220     2.8846   0.086500  0.01179    56.3  0.000430       0.7     10.92     1.100000       NONE     4.233441  0.004571 -0.452767  0.000000
 202.52992 -21.70125            133007-214204     1.9545   0.065100  0.03941   -16.0  0.000660       0.3     27.82     2.850000       NONE     4.201463  0.005952 -0.903222  0.000000
 228.10562   1.35242            151225+012108     2.2627   0.067900  0.02457    64.4  0.000500       0.4     19.34     1.980000       NONE     4.199158  0.005335 -0.729761  0.000000
 304.30421  33.76294            201713+334546     2.8526   0.099100  0.01315   -63.4  0.000630       0.9     10.71     1.180000       NONE     4.176521  0.005128 -0.449957  0.000000
  56.64758 -34.38319            034635-342259     1.7245   0.052900  0.16525     6.7  0.010360       0.3     36.72     2.999333       NONE     4.163284  0.018736 -1.040209  0.000000
 322.27475   7.54922     87GB_212636.5+072001     2.0588   0.067900  0.01936   -12.3  0.000710       0.6     23.66     2.410000     3C_435     4.161032  0.003405 -0.830452  0.000000
  48.19354 -14.83108            031246-144951     2.1887   0.065700  0.01357   -60.1  0.000420       0.6     20.06     2.040000       NONE     4.144362  0.002804 -0.753503  0.000000
 269.62950  13.47572            175831+132832     2.4163   0.072500  0.02922    67.6  0.000490       0.3     15.53     1.560000       NONE     4.130539  0.007772 -0.632800  0.000000
 121.19987  10.25633                   3C_191     1.8493   0.055500  0.02066   -45.1  0.000410       0.4     29.94     3.000000     3C_191     4.125610  0.002847 -0.947018  0.000000
  79.88512  50.90900                   3C_137     2.0683   0.065600  0.06779    23.5  0.001010       0.2     22.67     2.300000     3C_137     4.123583  0.012331 -0.814348  0.000000
 351.73242  40.80297                   3C_462     2.4556   0.084500  0.07299   -62.9  0.000510       0.1     14.81     1.520000     3C_462     4.121479  0.020312 -0.611167  0.000000
 351.33258 -12.12461            232519-120728     1.8746   0.056200  0.00105    85.7  0.000430       7.9     28.69     2.920000       NONE     4.114825  0.000151 -0.927892  0.000000
 241.55292   0.00761           160612+000027a     2.3431   0.052128  0.15457   -59.8  0.000885       0.1     16.37     1.680000       NONE     4.102887  0.038741 -0.661180  0.000000
 322.75633 -20.61558            213101-203656     2.0682   0.062000  0.00326     7.3  0.000470       2.8     22.03     2.240000       NONE     4.089551  0.000605 -0.804624  0.000000
  96.26512  40.06403                   3C_159     2.1151   0.071200  0.11743    64.0  0.000590       0.1     20.50     2.090000     3C_159     4.070042  0.023314 -0.772516  0.000000
   8.56000  39.40494                    3C_13     1.8649   0.062500  0.00945   -29.5  0.000600       1.0     27.80     2.830000   3C__13.0     4.062596  0.001381 -0.918939  0.000000
 318.66717 -25.69686            211440-254148     2.3325   0.082300  0.02603    70.5  0.000480       0.4     15.62     1.600000       NONE     4.034766  0.006724 -0.646771  0.000000
   5.78175 -25.03844            002307-250218     2.3311   0.056411  0.09083    65.4  0.000842       0.2     15.45     1.570000       NONE     4.020343  0.023635 -0.643253  0.000000
 113.98142  33.11933            073555+330709     2.4731   0.074200  0.00592    89.2  0.000460       1.5     13.27     1.330000       NONE     4.013347  0.001790 -0.571408  0.000000
   9.02729  18.63306                    2C_44     1.9841   0.068000  0.01662    10.7  0.000520       0.5     22.78     2.280000   3C__14.0     4.008964  0.002925 -0.830130  0.000000
 349.98379 -27.45386            231956-272713     2.1575   0.073300  0.34954   -59.9  0.001470       0.0     18.39     1.870000       NONE     4.000743  0.076042 -0.728823  0.000000
   4.71408 -12.70931                     3C_8     2.1223   0.063700  0.01958   -24.8  0.000410       0.4     19.05     1.940000     3C___8     3.994554  0.004106 -0.746410  0.000000
 182.30633  43.65519                 4C_43.23     1.9799   0.059400  0.16399    41.4  0.000410       0.0     21.76     2.220000   3C_268.4     3.950425  0.029772 -0.815270  0.000000
  57.19542  33.88767                  3C_93.1     2.3651   0.071000  0.00058   -47.8  0.000520      16.7     14.01     1.430000   3C__93.1     3.949068  0.000163 -0.605052  0.000000
 200.32850  11.11372            132118+110649     2.2380   0.067100  0.06809    71.5  0.000410       0.1     15.96     1.640000       NONE     3.942103  0.016818 -0.668161  0.000000
 257.68379  46.02508                   3C_352     1.8655   0.056000  0.04929   -83.0  0.000420       0.2     24.98     2.550000     3C_352     3.940183  0.007775 -0.882450  0.000000
 112.04708  67.81308                 4C_67.14     2.1226   0.074800  0.02214   -58.1  0.000470       0.4     17.85     1.790000     3C_179     3.920748  0.004863 -0.724233  0.000000
 193.10971  56.57214                  2E_2879     2.2883   0.068700  0.00357    55.2  0.000400       2.2     14.72     1.470000   3C_277.1     3.912701  0.000949 -0.633094  0.000000
 206.75629  -8.05656            134701-080323     1.9063   0.057200  0.01302    39.4  0.000480       0.7     22.98     2.300000       NONE     3.906252  0.002213 -0.846708  0.000000
 342.89475  18.81117                 3C_454.0     2.1330   0.064000  0.07740    53.4  0.000440       0.1     17.11     1.750000   3C_454.0     3.886698  0.017582 -0.708170  0.000000
 311.79300  -2.60631                   3C_422     2.2822   0.068500  0.00795    39.3  0.000480       1.2     14.38     1.470000     3C_422     3.879063  0.002145 -0.626053  0.000000
 184.64458 -10.31236            121834-101844     1.9667   0.064800  0.16059   -60.5  0.000730       0.1     20.71     2.130000       NONE     3.876021  0.030056 -0.800724  0.000000
 133.66396  14.09781                 3C_208.1     2.1638   0.064900  0.04936     1.2  0.000420       0.2     16.34     1.680000   3C_208.1     3.874804  0.011705 -0.687632  0.000000
   8.78667 -20.06644            003508-200359     1.9571   0.058700  0.00227   -15.3  0.000440       3.8     20.87     2.120000       NONE     3.871120  0.000421 -0.805006  0.000000
  52.46733  53.54289            032952+533234     2.2479   0.078600  0.08776    78.7  0.000590       0.1     14.82     1.480000       NONE     3.870949  0.022923 -0.641455  0.000000
 259.84542   0.61942            171922+003709     2.2548   0.067600  0.00675    68.3  0.000520       1.5     14.63     1.470000       NONE     3.865004  0.001783 -0.636024  0.000000
 327.68862  14.55914            215045+143332     2.2107   0.066300  0.02859    87.5  0.000430       0.3     15.36     1.540000       NONE     3.864897  0.007194 -0.659303  0.000000
 127.79167  37.70275            083110+374209     2.2596   0.067800  0.01830     5.6  0.000450       0.5     14.52     1.450000       NONE     3.862449  0.004868 -0.632733  0.000000
 247.01487  27.69336                   3C_341     1.9986   0.062500  0.30332    27.9  0.001280       0.0     19.62     1.990000     3C_341     3.860053  0.059675 -0.776863  0.000000
 105.72371  44.52011            070253+443112     2.3974   0.071900  0.00156   -80.1  0.000430       5.3     12.50     1.250000       NONE     3.858468  0.000482 -0.561651  0.000000
  91.11946  20.35614                   3C_152     1.8568   0.065600  0.00047    71.4  0.000590      23.3     23.36     2.390000     3C_152     3.851941  0.000078 -0.861235  0.000000
 214.95687 -19.47642            141949-192835     1.9731   0.069500  0.06640   -12.9  0.001060       0.2     20.10     2.050000       NONE     3.851667  0.012724 -0.789451  0.000000
   9.43621  13.33222                    3C_16     1.8433   0.063300  0.08825   -78.0  0.000520       0.1     23.74     2.420000     3C__16     3.849845  0.014311 -0.869205  0.000000
  17.57829  31.78889                  3C_34.0     1.6533   0.054000  0.02618    25.7  0.000760       0.4     31.05     3.180000   3C__34.0     3.849552  0.003246 -0.997505  0.000000
 359.25279 -34.75881            235700-344531     1.2847   0.043300  0.00070    -3.6  0.001580      23.6     57.62     5.850000       NONE     3.844238  0.000047 -1.293583  0.000000
 122.51529  42.46778                 3C_194.0     2.0566   0.061700  0.01071    50.0  0.000420       0.8     17.93     1.790000     3C_194     3.838519  0.002293 -0.736497  0.000000
 134.54196  27.84744                   3C_210     1.8078   0.063400  0.00643   -73.8  0.000480       1.4     24.46     2.490000   3C_210.0     3.829754  0.001007 -0.885981  0.000000
 153.56167  74.62700            101414+743737     2.0867   0.068100  0.02875    83.6  0.000740       0.4     17.01     1.740000       NONE     3.819997  0.006456 -0.713640  0.000000
  77.66396  29.15356            051039+290912     1.9683   0.061400  0.15903    51.7  0.001480       0.1     19.48     1.990000       NONE     3.810434  0.031107 -0.779623  0.000000
 247.40633  23.33706                   3C_340     2.0520   0.070500  0.11428    66.5  0.000500       0.1     17.20     1.750000     3C_340     3.786773  0.025160 -0.723121  0.000000
 233.75529  55.61383                   3C_322     1.8469   0.060000  0.00985    26.8  0.000690       1.0     22.27     2.260000   3C_322.0     3.784830  0.001674 -0.846801  0.000000
 251.42696   2.19589            164542+021145     1.9762   0.059300  0.07027    16.2  0.000540       0.1     18.82     1.890000       NONE     3.783545  0.014127 -0.766537  0.000000
