#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:04:51 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b46cf1f93	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/65&tab:{VIII/65/nvss}&key:source=nvss&HTTPPRM:&&-ref=VIZ524b46cf1f93&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/65/nvss
#-order=I
#-out=NVSS
#-out=RAJ2000
#-out=DEJ2000
#-out=e_RAJ2000
#-out=e_DEJ2000
#-out=S1.4
#-sort=S1.4
#S1.4=> 1000
#-out=e_S1.4
#-out=polFlux
#-out=polPA
#-out=e_polFlux
#-out=e_polPA
#Image=Image
#

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
_RAJ2000|_DEJ2000|NVSS|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|S1.4|e_S1.4|polFlux|polPA|e_polFlux|e_polPA
346.22762|+40.48172|230454+402854 |23 04 54.63|+40 28 54.2| 0.04| 0.6|  1162.9|   34.9|  7.84| 51.3| 0.45| 1.1
040.92621|+50.15881|024342+500931 |02 43 42.29|+50 09 31.7| 0.05| 0.6|  1163.1|   34.9|  2.26|-35.8| 0.48| 4.1
329.18375|-11.46375|215644-112749 |21 56 44.10|-11 27 49.5| 0.03| 0.6|  1164.0|   39.0| 24.31|-37.6| 0.63| 0.4
005.35587| -0.92789|002125-005540 |00 21 25.41|-00 55 40.4| 0.03| 0.6|  1164.0|   34.9|  0.53| 45.4| 0.46|16.6
294.11583|+36.70981|193627+364235 |19 36 27.80|+36 42 35.3| 0.04| 0.6|  1164.1|   34.9|  8.93| 42.4| 0.54| 1.1
215.90117|-18.27047|142336-181613 |14 23 36.28|-18 16 13.7| 0.03| 0.6|  1165.0|   35.0| 35.76| 84.4| 0.47| 0.3
191.69542|-25.79672|124646-254748 |12 46 46.90|-25 47 48.2| 0.03| 0.6|  1165.2|   35.0| 42.35|-15.3| 0.50| 0.2
275.45150|-16.38519|182148-162306 |18 21 48.36|-16 23 06.7| 0.04| 0.6|  1165.6|   35.7|  4.15|-49.1|40.84|22.2
150.11712|+14.02614|100028+140134 |10 00 28.11|+14 01 34.1| 0.03| 0.6|  1166.4|   40.7| 15.08| 39.4| 0.44| 0.5
305.70192|+40.26853|202248+401606 |20 22 48.46|+40 16 06.7| 0.04| 0.6|  1167.0|   36.0|  3.96| 49.3|13.48|14.2
256.11004|-13.83339|170426-135000 |17 04 26.41|-13 50 00.2| 0.03| 0.6|  1167.6|   41.2| -0.10|     | 0.56|
240.00392| -0.62303|160000-003722 |16 00 00.94|-00 37 22.9| 0.03| 0.6|  1168.0|   35.0|  5.24|-86.4| 0.49| 1.8
185.16400|-37.67089|122039-374015 |12 20 39.36|-37 40 15.2| 0.04| 0.6|  1168.5|   40.2| 46.61| 59.9| 0.57| 0.2
197.78567|+27.46569|131108+272756 |13 11 08.56|+27 27 56.5| 0.03| 0.6|  1169.9|   37.4| 48.04| -0.1| 0.94| 0.3
019.64275|-18.82081|011834-184914 |01 18 34.26|-18 49 14.9| 0.03| 0.6|  1170.3|   44.5| 26.80|-29.5| 0.58| 0.4
276.14596|+74.34297|182435+742034 |18 24 35.03|+74 20 34.7| 0.11| 0.6|  1170.6|   40.9| 34.18| 12.7| 0.53| 0.3
154.39437|+81.08828|101734+810517 |10 17 34.65|+81 05 17.8| 0.19| 0.6|  1171.0|   39.2| 13.84| 39.2| 0.60| 0.7
242.51412|+32.97889|161003+325844 |16 10 03.39|+32 58 44.0| 0.04| 0.6|  1171.1|   41.3| 33.74| 46.7| 0.48| 0.3
039.46046|+64.96511|023750+645754 |02 37 50.51|+64 57 54.4| 0.07| 0.6|  1171.6|   41.4|      |     |     |
083.32371|+21.96514|053317+215754 |05 33 17.69|+21 57 54.5| 0.03| 0.6|  1171.6|   37.8|  5.48| 28.0| 3.49| 5.1
089.06442|-32.38528|055615-322307 |05 56 15.46|-32 23 07.0| 0.04| 0.6|  1172.5|   38.9| 53.37| 85.1| 0.71| 0.2
026.74487|+21.17342|014658+211024 |01 46 58.77|+21 10 24.3| 0.03| 0.6|  1172.7|   35.2|  1.40|  7.4| 0.43| 5.8
351.46487|+58.80347|232551+584812 |23 25 51.57|+58 48 12.5| 0.06| 0.6|  1173.1|   41.0| 18.14| 11.5| 0.76| 0.8
006.55825|-20.08269|002613-200457 |00 26 13.98|-20 04 57.7| 0.03| 0.6|  1173.5|   35.2| 16.03| 84.6| 0.45| 0.5
206.38758|+42.83772|134533+425015 |13 45 33.02|+42 50 15.8| 0.04| 0.6|  1173.6|   41.4|  7.05| 64.6| 0.40| 1.1
258.52467|-38.13472|171405-380805 |17 14 05.92|-38 08 05.0| 0.04| 0.6|  1173.9|   37.6|  9.61| 26.1| 3.60| 2.8
169.82233| -5.45219|111917-052707 |11 19 17.36|-05 27 07.9| 0.03| 0.6|  1174.4|   41.4| 17.91|-14.3| 0.51| 0.5
015.04254|-17.81511|010010-174854 |01 00 10.21|-17 48 54.4| 0.03| 0.6|  1174.5|   35.2|  1.43| 80.9| 0.42| 5.7
083.73175|+22.16944|053455+221010 |05 34 55.62|+22 10 10.0| 0.04| 0.6|  1174.8|   35.8| 79.79|-89.9|49.19| 1.4
025.05342| -9.94919|014012-095657 |01 40 12.82|-09 56 57.1| 0.03| 0.6|  1175.3|   35.3|  2.81| 46.7| 0.46| 3.2
090.51237|-38.31939|060202-381909 |06 02 02.97|-38 19 09.8| 0.04| 0.6|  1176.2|   40.6| 23.93| 38.1| 0.57| 0.4
071.78721|+33.46317|044708+332747 |04 47 08.93|+33 27 47.4| 0.04| 0.6|  1177.3|   41.4| 36.90|-45.9| 0.54| 0.3
179.79708|-22.47672|115911-222836 |11 59 11.30|-22 28 36.2| 0.03| 0.6|  1177.9|   35.3|  1.39| 13.8| 0.46| 6.4
063.78846|-29.48500|041509-292906 |04 15 09.23|-29 29 06.0| 0.03| 0.6|  1180.9|   37.6| 22.14|-67.6| 1.02| 0.6
024.40871|-24.51511|013738-243054 |01 37 38.09|-24 30 54.4| 0.03| 0.6|  1181.2|   40.7| 16.94| -2.4| 0.56| 0.6
266.36292| -7.88444|174527-075304 |17 45 27.10|-07 53 04.0| 0.03| 0.6|  1181.4|   35.4| 12.40| 23.8| 0.69| 1.0
358.54729|+32.91997|235411+325511 |23 54 11.35|+32 55 11.9| 0.04| 0.6|  1181.7|   37.8| 16.44|-56.9| 0.88| 0.7
093.59942|+60.77269|061423+604621 |06 14 23.86|+60 46 21.7| 0.06| 0.6|  1182.0|   35.5| 12.87|-34.9| 0.42| 0.6
258.63237|-38.47625|171431-382834 |17 14 31.77|-38 28 34.5| 0.04| 0.6|  1182.9|   38.3|  1.79|  2.4| 3.01|13.5
280.88196| -3.74811|184331-034453 |18 43 31.67|-03 44 53.2| 0.03| 0.6|  1183.4|   36.6|  3.01|-41.2| 9.76|15.3
036.28367| -0.59217|022508-003531 |02 25 08.08|-00 35 31.8| 0.03| 0.6|  1183.8|   41.8| 83.16| 34.7| 0.49| 0.1
230.69046| -5.06764|152245-050403 |15 22 45.71|-05 04 03.5| 0.03| 0.6|  1184.2|   37.8| 82.96| -0.9| 1.01| 0.2
020.42342|+11.83053|012141+114949 |01 21 41.62|+11 49 49.9| 0.03| 0.6|  1184.2|   35.5| 18.96| -3.2| 0.44| 0.4
167.46692|+37.64553|110952+373843 |11 09 52.06|+37 38 43.9| 0.04| 0.6|  1184.2|   40.7| 46.72|  7.4| 0.53| 0.2
324.94425|+21.19344|213946+211136 |21 39 46.62|+21 11 36.4| 0.03| 0.6|  1184.3|   35.5|  0.29|-25.1| 0.44|29.5
030.40154|+29.56125|020136+293340 |02 01 36.37|+29 33 40.5| 0.03| 0.6|  1184.4|   38.7| 28.95|-68.8| 0.75| 0.4
350.65037| +8.20036|232236+081201 |23 22 36.09|+08 12 01.3| 0.03| 0.6|  1184.6|   41.8| -0.08|     | 0.48|
274.80317|-16.22183|181912-161318 |18 19 12.76|-16 13 18.6| 0.04| 0.6|  1184.7|   36.2| 41.35| 88.6|40.86| 2.2
319.94667|-11.59583|211947-113545 |21 19 47.20|-11 35 45.0| 0.03| 0.6|  1185.4|   35.6| 74.60|-30.4| 0.44| 0.1
029.28446|+28.86194|015708+285143 |01 57 08.27|+28 51 43.0| 0.03| 0.6|  1185.4|   41.4| 20.54| 56.4| 0.48| 0.4
125.40233|-30.21317|082136-301247 |08 21 36.56|-30 12 47.4| 0.04| 0.6|  1185.9|   37.2| 64.92|-47.1| 5.47| 0.5
028.29217|-33.17369|015310-331025 |01 53 10.12|-33 10 25.3| 0.04| 0.6|  1186.2|   35.6| 17.76| 81.8| 0.45| 0.5
117.84454|-19.28792|075122-191716 |07 51 22.69|-19 17 16.5| 0.03| 0.6|  1186.9|   40.0|  5.23|  4.1| 1.58| 3.2
343.75004|-39.21750|225500-391303 |22 55 00.01|-39 13 03.0| 0.04| 0.6|  1187.1|   41.9| 10.98| 20.4| 0.50| 0.9
328.35308| +5.60519|215324+053618 |21 53 24.74|+05 36 18.7| 0.03| 0.6|  1187.2|   41.6| 59.54| 42.0| 0.51| 0.2
145.82983| -0.07286|094319-000422 |09 43 19.16|-00 04 22.3| 0.03| 0.6|  1188.9|   41.3|  1.10| 47.2| 0.50| 8.3
103.71008|-13.15822|065450-130929 |06 54 50.42|-13 09 29.6| 0.03| 0.6|  1189.3|   35.7|  2.43|  9.7| 0.43| 3.5
291.15137|+35.34086|192436+352027 |19 24 36.33|+35 20 27.1| 0.04| 0.6|  1190.0|   41.1| 46.84|-18.7| 0.60| 0.2
214.36287|-21.44533|141727-212643 |14 17 27.09|-21 26 43.2| 0.03| 0.6|  1190.3|   37.6| 54.05| 14.8| 5.49| 0.6
303.71962|+26.51439|201452+263051 |20 14 52.71|+26 30 51.8| 0.03| 0.6|  1190.9|   35.7|  1.55| 10.2| 0.53| 6.7
179.95346|+58.33911|115948+582020 |11 59 48.83|+58 20 20.8| 0.06| 0.6|  1191.3|   35.7|  0.37|-89.0| 0.41|21.7
302.68804|-24.42922|201045-242545 |20 10 45.13|-24 25 45.2| 0.03| 0.6|  1192.8|   35.8|  0.24|  0.5| 0.47|38.1
074.70317| +6.13447|045848+060804 |04 58 48.76|+06 08 04.1| 0.03| 0.6|  1193.1|   35.8|  1.64|-71.7| 0.49| 5.8
317.50429|-10.34947|211001-102058 |21 10 01.03|-10 20 58.1| 0.03| 0.6|  1193.3|   35.8| 11.07|-68.7| 0.46| 0.8
262.77112|+50.12250|173105+500721 |17 31 05.07|+50 07 21.0| 0.05| 0.6|  1193.8|   35.8|177.07|-69.8| 0.42| 0.0
167.83371|+19.92669|111120+195536 |11 11 20.09|+19 55 36.1| 0.03| 0.6|  1194.8|   35.8|  1.07|-61.2| 0.39| 7.1
172.60596|+66.43494|113025+662605 |11 30 25.43|+66 26 05.8| 0.08| 0.6|  1195.2|   35.9| 37.76| 63.4| 0.44| 0.2
003.15750|+65.85292|001237+655110 |00 12 37.80|+65 51 10.5| 0.07| 0.6|  1195.3|   42.2|  0.85|-78.3| 0.56|12.3
317.38267|+35.54933|210931+353257 |21 09 31.84|+35 32 57.6| 0.04| 0.6|  1195.7|   35.9| 31.60| 54.7| 0.49| 0.3
117.97487|-27.97536|075153-275831 |07 51 53.97|-27 58 31.3| 0.03| 0.6|  1196.8|   35.9|  1.35| 14.9| 0.49| 6.9
052.52013|-16.64683|033004-163848 |03 30 04.83|-16 38 48.6| 0.03| 0.6|  1197.0|   39.5| 50.76| 29.8| 0.70| 0.2
188.90325|-25.19061|123536-251126 |12 35 36.78|-25 11 26.2| 0.03| 0.6|  1197.7|   41.8| 95.80|-11.4| 0.52| 0.1
135.60637| -5.27778|090225-051640 |09 02 25.53|-05 16 40.0| 0.03| 0.6|  1198.0|   35.9| 36.82| 86.1| 0.45| 0.2
054.11683|+53.64767|033628+533851 |03 36 28.04|+53 38 51.6| 0.05| 0.6|  1198.2|   42.3|  9.21| 81.3| 0.60| 1.2
126.34850|+39.32933|082523+391945 |08 25 23.64|+39 19 45.6| 0.04| 0.6|  1198.3|   42.3|  1.00|-77.0| 0.47| 8.8
162.76979|-31.63725|105104-313814 |10 51 04.75|-31 38 14.1| 0.04| 0.6|  1198.3|   36.0| 27.19| 53.2| 0.48| 0.3
289.36225|+11.92150|191726+115517 |19 17 26.94|+11 55 17.4| 0.03| 0.6|  1198.4|   36.6|  8.22|  2.5|19.59| 7.7
249.55587|+57.34006|163813+572024 |16 38 13.41|+57 20 24.2| 0.06| 0.6|  1198.9|   36.0|  5.67|-61.2| 0.40| 1.4
291.49808|+21.10736|192559+210626 |19 25 59.54|+21 06 26.5| 0.03| 0.6|  1199.0|   36.0| 19.32|  7.5| 0.58| 0.6
112.27233|-36.66211|072905-363943 |07 29 05.36|-36 39 43.6| 0.04| 0.6|  1199.1|   36.0| 17.34|-41.2| 0.50| 0.6
224.85317|-16.69333|145924-164136 |14 59 24.76|-16 41 36.0| 0.03| 0.6|  1200.5|   36.0|  1.75|-11.2| 0.47| 5.2
241.34496| -9.44108|160522-092627 |16 05 22.79|-09 26 27.9| 0.03| 0.6|  1200.9|   36.0|136.69| 15.1| 0.46| 0.1
158.52121|+11.20892|103405+111232 |10 34 05.09|+11 12 32.1| 0.03| 0.6|  1201.0|   36.0| 55.81| 25.5| 0.46| 0.2
338.40821|+36.01817|223337+360105 |22 33 37.97|+36 01 05.4| 0.04| 0.6|  1201.8|   36.1| 17.43| 43.3| 0.46| 0.5
350.50321|+59.06878|232200+590407 |23 22 00.77|+59 04 07.6| 0.07| 0.6|  1201.8|   36.7| 64.19|  3.6|42.00| 1.6
171.34650|-37.39075|112523-372326 |11 25 23.16|-37 23 26.7| 0.04| 0.6|  1202.5|   42.5|  8.81|-79.4| 0.50| 1.1
265.95529|-28.92317|174349-285523 |17 43 49.27|-28 55 23.4| 0.04| 0.6|  1202.7|   36.6| 37.77| -8.0|34.54| 2.3
333.56187|+60.47700|221414+602837 |22 14 14.85|+60 28 37.2| 0.06| 0.6|  1202.8|   36.1|  1.91| 51.3| 0.52| 5.3
022.90221| -7.06589|013136-070357 |01 31 36.53|-07 03 57.2| 0.03| 0.6|  1203.0|   38.9| 16.42|-83.6| 0.87| 0.7
352.67012|+11.00508|233040+110018 |23 30 40.83|+11 00 18.3| 0.03| 0.6|  1203.8|   36.1| 15.09| 31.2| 0.42| 0.5
051.93629|+55.37469|032744+552228 |03 27 44.71|+55 22 28.9| 0.05| 0.6|  1204.0|   42.5|  2.07|-11.9| 0.57| 5.2
059.75379|+14.60625|035900+143622 |03 59 00.91|+14 36 22.5| 0.03| 0.6|  1204.1|   36.1|  6.48| 83.5| 0.45| 1.3
342.47025|+11.60294|224952+113610 |22 49 52.86|+11 36 10.6| 0.03| 0.6|  1204.5|   39.2|208.82|  3.3| 2.80| 0.1
191.78083|+49.00506|124707+490018 |12 47 07.40|+49 00 18.2| 0.05| 0.6|  1204.6|   36.1| 21.64| 50.9| 0.39| 0.3
079.19412|+10.96500|051646+105754 |05 16 46.59|+10 57 54.0| 0.03| 0.6|  1204.7|   36.1| 11.72| 36.7| 0.51| 0.8
247.16342|+14.63472|162839+143805 |16 28 39.22|+14 38 05.0| 0.03| 0.6|  1205.1|   38.1| 29.67| 89.4| 1.37| 0.6
165.60912|+55.83425|110226+555003 |11 02 26.19|+55 50 03.3| 0.05| 0.6|  1206.4|   42.3|  5.20| 73.5| 0.46| 1.6
046.09133|+68.36022|030421+682136 |03 04 21.92|+68 21 36.8| 0.08| 0.6|  1207.4|   42.6|  1.76|-69.3| 0.49| 5.3
076.36412|+63.09331|050527+630535 |05 05 27.39|+63 05 35.9| 0.07| 0.6|  1207.7|   40.5| 57.07| 85.7| 0.64| 0.2
051.84629|+12.14328|032723+120835 |03 27 23.11|+12 08 35.8| 0.03| 0.6|  1208.7|   42.4| 27.41| 69.5| 0.49| 0.3
220.93008|+50.57547|144343+503431 |14 43 43.22|+50 34 31.7| 0.05| 0.6|  1209.6|   36.3|  6.15| -7.0| 0.43| 1.3
333.26071|-25.49158|221302-252929 |22 13 02.57|-25 29 29.7| 0.03| 0.6|  1209.8|   36.3| 17.19| -4.8| 0.48| 0.5
107.58388| -3.72414|071020-034326 |07 10 20.13|-03 43 26.9| 0.03| 0.6|  1210.0|   36.3| 33.13| 89.0| 0.51| 0.3
026.68792| -5.63297|014645-053758 |01 46 45.10|-05 37 58.7| 0.03| 0.6|  1211.2|   36.3| 17.70| 49.3| 0.47| 0.5
148.69771|+74.59914|095447+743556 |09 54 47.45|+74 35 56.9| 0.11| 0.6|  1212.5|   36.4|  1.00| 15.7| 0.44| 8.4
314.62017| +5.71408|205828+054250 |20 58 28.84|+05 42 50.7| 0.03| 0.6|  1213.2|   36.4|  3.48|-47.6| 0.47| 2.7
095.13392|-25.25458|062032-251516 |06 20 32.14|-25 15 16.5| 0.03| 0.6|  1213.2|   36.4| 15.26| 51.1| 0.47| 0.6
244.42508|+32.36881|161742+322207 |16 17 42.02|+32 22 07.7| 0.04| 0.6|  1213.5|   45.2| 34.48|-54.2| 0.66| 0.3
149.61992| -1.66647|095828-013959 |09 58 28.78|-01 39 59.3| 0.03| 0.6|  1213.7|   42.9|  2.49|-40.7| 0.48| 3.6
283.34537| +1.24167|185322+011430 |18 53 22.89|+01 14 30.0| 0.03| 0.6|  1214.0|   39.7|  8.82|-82.2| 3.21| 3.0
239.78408|-21.67672|155908-214036 |15 59 08.18|-21 40 36.2| 0.03| 0.6|  1214.4|   37.2|107.65| 65.5|13.86| 0.5
225.39917|+56.96389|150135+565750 |15 01 35.80|+56 57 50.0| 0.06| 0.6|  1215.3|   42.9| 25.21|-51.4| 0.43| 0.3
348.95067|-18.01106|231548-180039 |23 15 48.16|-18 00 39.8| 0.03| 0.6|  1218.2|   36.5|  5.83| 69.0| 0.45| 1.5
028.78329| +3.63981|015507+033823 |01 55 07.99|+03 38 23.3| 0.03| 0.6|  1218.7|   43.1|  7.11| 17.8| 0.46| 1.2
245.25050|-23.70103|162100-234203 |16 21 00.12|-23 42 03.7| 0.03| 0.6|  1219.2|   39.0| 35.50| 88.7| 1.17| 0.4
031.24033|-17.02206|020457-170119 |02 04 57.68|-17 01 19.4| 0.03| 0.6|  1219.5|   36.6| 31.27| -1.0| 0.41| 0.3
066.66913|-26.72922|042640-264345 |04 26 40.59|-26 43 45.2| 0.03| 0.6|  1219.5|   42.8|  9.86|  4.9| 0.51| 0.9
224.17275| -6.29511|145641-061742 |14 56 41.46|-06 17 42.4| 0.03| 0.6|  1220.7|   36.6| 67.81|-25.3| 0.46| 0.1
061.84275| +3.68825|040722+034117 |04 07 22.26|+03 41 17.7| 0.03| 0.6|  1221.6|   38.6|158.07| 56.3| 4.91| 0.2
167.37025|+37.74206|110928+374431 |11 09 28.86|+37 44 31.4| 0.04| 0.6|  1221.6|   36.6|  1.52| 68.1| 0.41| 5.3
351.29262| -3.74631|232510-034446 |23 25 10.23|-03 44 46.7| 0.03| 0.6|  1223.5|   36.7|  2.70|-25.7| 0.50| 3.5
267.96362|-25.39983|175151-252359 |17 51 51.27|-25 23 59.4| 0.03| 0.6|  1223.6|   36.7|  3.12| 11.8| 0.62| 3.8
173.40367|-19.90422|113336-195415 |11 33 36.88|-19 54 15.2| 0.03| 0.6|  1223.6|   36.7| 18.84| 52.4| 0.48| 0.5
042.89383|+43.25436|025134+431515 |02 51 34.52|+43 15 15.7| 0.04| 0.6|  1224.9|   36.7| 21.47| 45.2| 0.46| 0.4
070.15217|+50.46231|044036+502744 |04 40 36.52|+50 27 44.3| 0.05| 0.6|  1225.0|   37.2| -2.50|     |33.23|
216.49179|-17.94506|142558-175642 |14 25 58.03|-17 56 42.2| 0.03| 0.6|  1225.1|   43.2| 40.21|-64.9| 1.01| 0.3
306.34837|+37.38686|202523+372312 |20 25 23.61|+37 23 12.7| 0.04| 0.6|  1225.4|   43.8| -0.08|     | 1.12|
291.61812|-32.71244|192628-324244 |19 26 28.35|-32 42 44.8| 0.04| 0.6|  1225.6|   40.4| 42.14| 85.8| 0.86| 0.3
044.41479| +6.04231|025739+060232 |02 57 39.55|+06 02 32.3| 0.03| 0.6|  1225.9|   37.1|  8.52| 65.1| 3.73| 3.0
134.52237|-19.84339|085805-195036 |08 58 05.37|-19 50 36.2| 0.03| 0.6|  1226.0|   36.8| 14.96| 54.6| 0.44| 0.6
212.67929|+36.78942|141043+364721 |14 10 43.03|+36 47 21.9| 0.04| 0.6|  1226.1|   36.8| -0.06|     | 0.41|
005.78175|-25.03844|002307-250218 |00 23 07.62|-25 02 18.4| 0.03| 0.6|  1226.3|   41.6| 61.51| 65.4| 0.62| 0.2
292.89817|-14.09986|193135-140559 |19 31 35.56|-14 05 59.5| 0.03| 0.6|  1226.4|   38.8| 24.00|-20.9| 1.23| 0.6
150.73800|+19.86486|100257+195153 |10 02 57.12|+19 51 53.5| 0.03| 0.6|  1226.5|   45.2|  2.90| 64.7| 0.67| 3.5
077.54871|-12.17931|051011-121045 |05 10 11.69|-12 10 45.5| 0.03| 0.6|  1227.0|   40.6| 49.71| 80.2| 0.66| 0.2
057.93762|-27.72050|035145-274313 |03 51 45.03|-27 43 13.8| 0.03| 0.6|  1227.7|   43.1|240.49| -8.5| 0.48| 0.0
135.20133|+18.53528|090048+183207 |09 00 48.32|+18 32 07.0| 0.03| 0.6|  1227.7|   40.0| 84.57|-21.4| 0.71| 0.1
345.93912|+44.65181|230345+443906 |23 03 45.39|+44 39 06.5| 0.04| 0.6|  1229.4|   36.9|  2.16|-33.0| 0.44| 4.0
111.46362|+10.53397|072551+103202 |07 25 51.27|+10 32 02.3| 0.03| 0.6|  1229.5|   36.9|  0.15| 75.3| 0.42|55.3
350.96158|+58.66608|232350+583957 |23 23 50.78|+58 39 57.9| 0.06| 0.6|  1230.6|   37.8| 43.16|-54.1|17.26| 1.6
038.35308|-23.35150|023324-232105 |02 33 24.74|-23 21 05.4| 0.03| 0.6|  1231.8|   39.8| 29.47| 20.2| 0.86| 0.4
265.99104|-28.94503|174357-285642 |17 43 57.85|-28 56 42.1| 0.04| 0.6|  1232.0|   37.4| 19.51| 11.9|44.50| 5.2
122.40246|-39.08581|080936-390508 |08 09 36.59|-39 05 08.9| 0.04| 0.6|  1233.2|   43.2| 15.44| -8.9| 0.57| 0.7
214.99500|+27.02878|141958+270143 |14 19 58.80|+27 01 43.6| 0.03| 0.6|  1233.2|   43.5|  2.42| -7.4| 0.45| 3.5
348.22442|+59.64906|231253+593856 |23 12 53.86|+59 38 56.6| 0.06| 0.6|  1233.3|   43.3|  5.32|-88.1| 0.67| 2.3
112.67596|-26.34322|073042-262035 |07 30 42.23|-26 20 35.6| 0.03| 0.6|  1235.4|   40.9| 29.97|-70.2| 1.99| 0.6
292.11787| -1.11397|192828-010650 |19 28 28.29|-01 06 50.3| 0.03| 0.6|  1236.1|   37.1|  7.60|-83.4| 0.71| 1.8
116.07292|+37.88803|074417+375316 |07 44 17.50|+37 53 16.9| 0.04| 0.6|  1236.4|   37.1|  2.72|-25.7| 0.42| 3.0
242.37358|+79.66531|160929+793955 |16 09 29.66|+79 39 55.1| 0.17| 0.6|  1238.6|   37.2|  1.95| 12.7| 0.45| 4.3
016.28887|-38.18256|010509-381057 |01 05 09.33|-38 10 57.2| 0.04| 0.6|  1238.7|   41.1| 96.31| 62.8| 0.65| 0.1
083.97333|+22.08625|053553+220510 |05 35 53.60|+22 05 10.5| 0.03| 0.6|  1239.5|   38.1| 12.58| 14.6|14.60| 4.8
262.09400|+31.76339|172822+314548 |17 28 22.56|+31 45 48.2| 0.04| 0.6|  1240.3|   46.6| 26.81|-82.7| 0.62| 0.4
287.63075| +9.08636|191031+090510 |19 10 31.38|+09 05 10.9| 0.03| 0.6|  1240.5|   39.7|  6.00|-62.7| 3.58| 4.7
127.95371| +4.49403|083148+042938 |08 31 48.89|+04 29 38.5| 0.03| 0.6|  1240.9|   43.7| 43.59| 38.3| 0.48| 0.2
327.98142|-30.46489|215155-302753 |21 51 55.54|-30 27 53.6| 0.03| 0.6|  1243.2|   37.3| 20.90| 67.6| 0.46| 0.4
097.88579|+19.14667|063132+190848 |06 31 32.59|+19 08 48.0| 0.03| 0.6|  1243.2|   41.0| 13.52|-73.9| 2.33| 1.6
223.61037|-36.64928|145426-363857 |14 54 26.49|-36 38 57.4| 0.04| 0.6|  1243.4|   40.6| 43.41| 63.8| 0.92| 0.3
351.43087|+58.57894|232543+583444 |23 25 43.41|+58 34 44.2| 0.07| 0.6|  1243.9|   38.0| 22.79|-81.8|52.00| 5.2
165.45217|+72.42706|110148+722537 |11 01 48.52|+72 25 37.4| 0.10| 0.6|  1245.0|   37.4|  3.09|-48.7| 0.45| 2.8
241.40412| -9.47067|160536-092814 |16 05 36.99|-09 28 14.4| 0.03| 0.6|  1245.3|   39.2|121.88| 15.8| 5.71| 0.3
246.57538|-22.92553|162618-225531 |16 26 18.09|-22 55 31.9| 0.03| 0.6|  1245.4|   37.4| 29.83| 55.8| 0.56| 0.4
243.32246|-21.56864|161317-213407 |16 13 17.39|-21 34 07.1| 0.03| 0.6|  1246.6|   41.3|128.86| 47.5| 0.85| 0.1
019.49792|+45.60597|011759+453621 |01 17 59.50|+45 36 21.5| 0.04| 0.6|  1247.1|   37.4|  4.75|-57.4| 0.41| 1.7
149.58717|+32.40044|095820+322401 |09 58 20.92|+32 24 01.6| 0.04| 0.6|  1247.1|   37.4|  0.72| 84.5| 0.45|11.7
136.06504|+42.63478|090415+423805 |09 04 15.61|+42 38 05.2| 0.04| 0.6|  1247.4|   37.4| 72.39| 12.8| 0.40| 0.1
