#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:03:14 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b42ba3871	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/79A&tab:{VIII/79A/catalog}&key:source=VIII/79A/catalog&HTTPPRM:&-ref=VIZ524b42ba3871&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&Si=> 10&-ignore=SPECFIND=*&SPECFIND=SPECFIND&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/79A/catalog
#-order=I
#-out=VLSS
#-out=RAJ2000
#-out=e_RAJ2000
#-out=DEJ2000
#-out=e_DEJ2000
#-out=Si
#-sort=Si
#Si=> 10
#-out=e_Si
#SPECFIND=SPECFIND
#

#RESOURCE=yCat_8079
#Name: VIII/79A
#Title: The VLA Low-frequency Sky Survey at 74MHz (Cohen+ 2007)
#Table	VIII_79A_catalog:
#Name: VIII/79A/catalog
#Title: The VLSS Catalog, Version 2007-06-26
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	VLSS	(a12)	VLSS name {\em(Name derived from truncated J2000 position; a suffix {\bf A} or {\bf B} was added in case of name collision)}	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(F4.1)	Mean error on Declination	[ucd=stat.error;pos.eq.dec]
#Column	Si	(F8.2)	Integrated flux density at 74MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	e_Si	(F7.2)	? Mean error on Si (1)	[ucd=stat.error]
_RAJ2000|_DEJ2000|VLSS|RAJ2000|e_RAJ2000|DEJ2000|e_DEJ2000|Si|e_Si
152.00925| -9.98906|1008.0-0959 |10 08 02.22| 0.20|-09 59 20.6| 3.1|   11.00|   1.13
127.64892|+45.72589|0830.5+4543 |08 30 35.74| 0.28|+45 43 33.2| 3.1|   11.01|   1.10
090.78437|-13.16889|0603.1-1310 |06 03 08.25| 0.20|-13 10 08.0| 3.1|   11.03|   1.13
099.43537|+30.48311|0637.7+3028 |06 37 44.49| 0.22|+30 28 59.2| 3.1|   11.03|   1.13
130.98463|+15.79578|0843.9+1547 |08 43 56.31| 0.20|+15 47 44.8| 3.1|   11.03|   1.11
138.68412|-13.49306|0914.7-1329 |09 14 44.19| 0.20|-13 29 35.0| 3.1|   11.03|   1.11
338.65571|+47.37325|2234.6+4722 |22 34 37.37| 0.29|+47 22 23.7| 3.1|   11.03|   1.14
121.81271|-33.50303|0807.2-3330 |08 07 15.05| 0.23|-33 30 10.9| 3.1|   11.06|   1.15
017.14729|+69.37661|0108.5+6922 |01 08 35.35| 0.58|+69 22 35.8| 3.1|   11.07|   1.15
058.29712|+38.44431|0353.1+3826 |03 53 11.31| 0.25|+38 26 39.5| 3.1|   11.07|   1.14
022.00400|+32.74094|0128.0+3244 |01 28 00.96| 0.23|+32 44 27.4| 3.1|   11.09|   1.14
178.35233|+49.51983|1153.4+4931 |11 53 24.56| 0.30|+49 31 11.4| 3.1|   11.09|   1.11
255.42496| +6.52719|1701.6+0631 |17 01 41.99| 0.20|+06 31 37.9| 3.2|   11.09|   1.18
179.66387|+62.90761|1158.6+6254 |11 58 39.33| 0.43|+62 54 27.4| 3.1|   11.10|   1.13
198.82250|-27.75211|1315.2-2745 |13 15 17.40| 0.22|-27 45 07.6| 3.1|   11.11|   1.15
200.69604|+32.27019|1322.7+3216 |13 22 47.05| 0.23|+32 16 12.7| 3.1|   11.11|   1.14
015.70071|+14.87861|0102.8+1452 |01 02 48.17| 0.20|+14 52 43.0| 3.1|   11.12|   1.11
131.52162|+14.99128|0846.0+1459 |08 46 05.19| 0.20|+14 59 28.6| 3.1|   11.12|   1.15
348.45087|+47.20428|2313.8+4712 |23 13 48.21| 0.28|+47 12 15.4| 3.1|   11.15|   1.15
040.92667|+50.15856|0243.7+5009 |02 43 42.40| 0.30|+50 09 30.8| 3.1|   11.16|   1.12
216.49033|-17.94378|1425.9-1756 |14 25 57.68| 0.21|-17 56 37.6| 3.1|   11.17|   1.16
324.85187|-25.94678|2139.4-2556 |21 39 24.45| 0.22|-25 56 48.4| 3.1|   11.17|   1.14
152.65675|+76.84722|1010.6+7650 |10 10 37.62| 0.85|+76 50 50.0| 3.1|   11.18|   1.15
043.96762|-20.46269|0255.8-2027 |02 55 52.23| 0.22|-20 27 45.7| 3.1|   11.19|   1.14
061.39121|-13.13778|0405.5-1308 |04 05 33.89| 0.20|-13 08 16.0| 3.1|   11.19|   1.12
097.57221|+76.54675|0630.2+7632 |06 30 17.33| 0.85|+76 32 48.3| 3.1|   11.19|   1.14
327.96229|-19.76894|2151.8-1946 |21 51 50.95| 0.21|-19 46 08.2| 3.1|   11.19|   1.16
300.05029|+36.08600|2000.2+3605 |20 00 12.07| 0.59|+36 05 09.6| 6.0|   11.21|   1.57
234.38542|+13.74611|1537.5+1344 |15 37 32.50| 0.20|+13 44 46.0| 3.1|   11.23|   1.13
272.73187|+40.75594|1810.9+4045 |18 10 55.65| 0.26|+40 45 21.4| 3.1|   11.23|   1.16
328.92737|+12.52436|2155.7+1231 |21 55 42.57| 0.20|+12 31 27.7| 3.1|   11.23|   1.15
095.99183|-21.62883|0623.9-2137 |06 23 58.04| 0.21|-21 37 43.8| 3.1|   11.24|   1.13
114.64142| -2.07264|0738.5-0204 |07 38 33.94| 0.19|-02 04 21.5| 3.1|   11.26|   1.16
331.81458|-20.05728|2207.2-2003 |22 07 15.50| 0.21|-20 03 26.2| 3.1|   11.26|   1.18
348.04467|+18.77814|2312.1+1846 |23 12 10.72| 0.21|+18 46 41.3| 3.1|   11.26|   1.17
033.47754|+60.23164|0213.9+6013 |02 13 54.61| 0.39|+60 13 53.9| 3.1|   11.28|   1.15
151.67125|+48.21975|1006.6+4813 |10 06 41.10| 0.29|+48 13 11.1| 3.1|   11.28|   1.13
178.88567|+54.89675|1155.5+5453 |11 55 32.56| 0.35|+54 53 48.3| 3.1|   11.28|   1.15
268.93708|+37.71128|1755.7+3742 |17 55 44.90| 0.24|+37 42 40.6| 3.1|   11.29|   1.16
010.44625|+32.41361|0041.7+3224 |00 41 47.10| 0.29|+32 24 49.0| 3.2|   11.30|   1.18
032.41129|+35.79694|0209.6+3547 |02 09 38.71| 0.24|+35 47 49.0| 3.1|   11.30|   1.16
152.78879|+21.21531|1011.1+2112 |10 11 09.31| 0.21|+21 12 55.1| 3.0|   11.30|   1.16
168.79596|-16.80500|1115.1-1648 |11 15 11.03| 0.20|-16 48 18.0| 3.1|   11.30|   1.16
202.90479|+50.13083|1331.6+5007 |13 31 37.15| 0.30|+50 07 51.0| 3.1|   11.30|   1.16
245.14471|+65.46517|1620.5+6527 |16 20 34.73| 0.51|+65 27 54.6| 3.1|   11.30|   1.16
260.26750|+19.19886|1721.0+1911 |17 21 04.20| 0.21|+19 11 55.9| 3.1|   11.30|   1.14
035.45246|+39.92378|0221.8+3955 |02 21 48.59| 0.27|+39 55 25.6| 3.3|   11.32|   1.18
155.91392|+59.08031|1023.6+5904 |10 23 39.34| 0.38|+59 04 49.1| 3.1|   11.32|   1.16
199.35412|+82.32097|1317.4+8219 |13 17 24.99| 1.46|+82 19 15.5| 3.1|   11.32|   1.16
327.36787|-13.07397|2149.4-1304 |21 49 28.29| 0.20|-13 04 26.3| 3.1|   11.33|   1.16
278.80529| +1.77228|1835.2+0146 |18 35 13.27| 0.20|+01 46 20.2| 3.1|   11.35|   1.18
334.24054|-17.42256|2216.9-1725 |22 16 57.73| 0.21|-17 25 21.2| 3.3|   11.35|   1.20
072.39763| -9.95947|0449.5-0957 |04 49 35.43| 0.20|-09 57 34.1| 3.1|   11.36|   1.14
039.55183|+27.42494|0238.2+2725 |02 38 12.44| 0.22|+27 25 29.8| 3.1|   11.37|   1.16
047.63012|+44.59611|0310.5+4435 |03 10 31.23| 0.27|+44 35 46.0| 3.1|   11.37|   1.14
265.44312| +6.03328|1741.7+0601 |17 41 46.35| 0.20|+06 01 59.8| 3.1|   11.37|   1.18
275.25904|+36.03778|1821.0+3602 |18 21 02.17| 0.24|+36 02 16.0| 3.1|   11.37|   1.17
342.05125|+36.68222|2248.2+3640 |22 48 12.30| 0.24|+36 40 56.0| 3.1|   11.38|   1.17
186.21800|-25.47842|1224.8-2528 |12 24 52.32| 0.24|-25 28 42.3| 3.1|   11.39|   1.17
205.68100| +5.07561|1342.7+0504 |13 42 43.44| 0.19|+05 04 32.2| 3.1|   11.40|   1.17
087.18546|+26.60039|0548.7+2636 |05 48 44.51| 0.23|+26 36 01.4| 3.1|   11.41|   1.18
130.74179| +7.36192|0842.9+0721 |08 42 58.03| 0.19|+07 21 42.9| 3.1|   11.41|   1.17
123.68167|+12.97025|0814.7+1258 |08 14 43.60| 0.20|+12 58 12.9| 3.1|   11.42|   1.17
052.29917|-26.00386|0329.1-2600 |03 29 11.80| 0.22|-26 00 13.9| 3.1|   11.43|   1.17
065.21725| -5.62256|0420.8-0537 |04 20 52.14| 0.19|-05 37 21.2| 3.1|   11.43|   1.17
084.62996|-13.24164|0538.5-1314 |05 38 31.19| 0.20|-13 14 29.9| 3.1|   11.43|   1.17
179.01562|+58.78425|1156.0+5847 |11 56 03.75| 0.37|+58 47 03.3| 3.0|   11.44|   1.17
055.20387|-34.15058|0340.8-3409 |03 40 48.93| 0.82|-34 09 02.1|13.1|   11.45|   2.02
246.88467|+21.20733|1627.5+2112 |16 27 32.32| 0.21|+21 12 26.4| 3.1|   11.45|   1.15
337.39575|+26.33611|2229.5+2620 |22 29 34.98| 0.21|+26 20 10.0| 3.1|   11.45|   1.17
206.09900|+14.15394|1344.3+1409 |13 44 23.76| 0.20|+14 09 14.2| 3.1|   11.46|   1.18
049.07750| -8.26378|0316.3-0815 |03 16 18.60| 0.20|-08 15 49.6| 3.1|   11.47|   1.18
105.44087|+35.30389|0701.7+3518 |07 01 45.81| 0.24|+35 18 14.0| 3.1|   11.47|   1.17
219.59087| +3.67172|1438.3+0340 |14 38 21.81| 0.20|+03 40 18.2| 3.1|   11.49|   1.18
327.05904|+15.28664|2148.2+1517 |21 48 14.17| 0.20|+15 17 11.9| 3.0|   11.50|   1.15
065.64242|-26.28550|0422.5-2617 |04 22 34.18| 0.22|-26 17 07.8| 3.8|   11.51|   1.17
128.72779|+55.57181|0834.9+5534 |08 34 54.67| 0.34|+55 34 18.5| 3.1|   11.51|   1.15
179.53037|+71.74769|1158.1+7144 |11 58 07.29| 0.62|+71 44 51.7| 3.1|   11.51|   1.18
186.90562|+10.63792|1227.6+1038 |12 27 37.35| 0.50|+10 38 16.5|18.9|   11.51|   2.10
325.04587|-16.27500|2140.1-1616 |21 40 11.01| 0.20|-16 16 30.0| 3.1|   11.51|   1.18
207.66371|+64.50500|1350.6+6430 |13 50 39.29| 0.45|+64 30 18.0| 3.1|   11.52|   1.18
358.22667| +6.00836|2352.9+0600 |23 52 54.40| 0.19|+06 00 30.1| 3.1|   11.52|   1.18
315.48533|+28.58139|2101.9+2834 |21 01 56.48| 0.23|+28 34 53.0| 3.2|   11.53|   1.21
010.32912|+25.83394|0041.3+2550 |00 41 18.99| 0.21|+25 50 02.2| 3.1|   11.55|   1.18
116.66637|+57.41714|0746.6+5725 |07 46 39.93| 0.36|+57 25 01.7| 3.1|   11.55|   1.18
163.82308| +2.09578|1055.2+0205 |10 55 17.54| 0.20|+02 05 44.8| 3.1|   11.56|   1.19
262.52433|+17.40856|1730.0+1724 |17 30 05.84| 0.21|+17 24 30.8| 3.2|   11.56|   1.20
177.19833| +4.92464|1148.7+0455 |11 48 47.60| 0.19|+04 55 28.7| 3.1|   11.57|   1.18
082.81546|-30.53664|0531.2-3032 |05 31 15.71| 0.23|-30 32 11.9| 3.2|   11.59|   1.21
094.73971|+13.60778|0618.9+1336 |06 18 57.53| 0.20|+13 36 28.0| 3.1|   11.60|   1.16
111.12521|+31.52819|0724.5+3131 |07 24 30.05| 0.23|+31 31 41.5| 3.1|   11.60|   1.19
157.71438| -9.42217|1030.8-0925 |10 30 51.45| 0.19|-09 25 19.8| 3.1|   11.60|   1.16
016.09413|-12.58661|0104.3-1235 |01 04 22.59| 0.20|-12 35 11.8| 3.0|   11.62|   1.16
136.20675|+22.32678|0904.8+2219 |09 04 49.62| 0.21|+22 19 36.4| 3.0|   11.62|   1.16
162.88362|-20.39611|1051.5-2023 |10 51 32.07| 0.21|-20 23 46.0| 3.1|   11.62|   1.17
009.61829|+50.59072|0038.4+5035 |00 38 28.39| 0.30|+50 35 26.6| 3.1|   11.63|   1.17
278.57612|+31.60650|1834.3+3136 |18 34 18.27| 0.23|+31 36 23.4| 3.1|   11.65|   1.17
300.05333|+36.15289|2000.2+3609 |20 00 12.80| 0.66|+36 09 10.4| 6.8|   11.65|   1.76
194.34637|-30.36403|1257.3-3021 |12 57 23.13| 0.23|-30 21 50.5| 3.1|   11.66|   1.20
271.70012|+70.74525|1806.8+7044 |18 06 48.03| 0.58|+70 44 42.9| 3.1|   11.66|   1.19
001.23675|+12.80517|0004.9+1248 |00 04 56.82| 0.21|+12 48 18.6| 3.1|   11.67|   1.20
094.52075|+22.75522|0618.0+2245 |06 18 04.98| 1.49|+22 45 18.8|23.1|   11.67|   1.72
261.24346|+47.09675|1724.9+4705 |17 24 58.43| 0.29|+47 05 48.3| 3.1|   11.67|   1.21
181.38833|-26.56900|1205.5-2634 |12 05 33.20| 0.21|-26 34 08.4| 3.1|   11.68|   1.19
002.12296| -5.97856|0008.4-0558 |00 08 29.51| 0.19|-05 58 42.8| 3.1|   11.70|   1.20
147.31437|+73.23000|0949.2+7313 |09 49 15.45| 0.97|+73 13 48.0| 4.3|   11.70|   1.21
021.18987|-25.28772|0124.7-2517 |01 24 45.57| 0.21|-25 17 15.8| 3.1|   11.71|   1.19
174.37412| +1.26961|1137.4+0116 |11 37 29.79| 0.19|+01 16 10.6| 3.1|   11.73|   1.18
240.37750|+34.38689|1601.5+3423 |16 01 30.60| 0.23|+34 23 12.8| 3.1|   11.75|   1.20
336.12137|-13.68361|2224.4-1341 |22 24 29.13| 0.20|-13 41 01.0| 3.1|   11.75|   1.21
119.40946|+57.65850|0757.6+5739 |07 57 38.27| 0.36|+57 39 30.6| 3.1|   11.76|   1.21
150.07254| +0.08986|1000.2+0005 |10 00 17.41| 0.19|+00 05 23.5| 3.1|   11.77|   1.21
148.52987|+21.37786|0954.1+2122 |09 54 07.17| 0.22|+21 22 40.3| 3.1|   11.78|   1.19
306.73075|+15.61847|2026.9+1537 |20 26 55.38| 0.20|+15 37 06.5| 3.1|   11.78|   1.22
005.09208| -2.55253|0020.3-0233 |00 20 22.10| 0.19|-02 33 09.1| 3.1|   11.79|   1.21
250.16629| -2.66281|1640.6-0239 |16 40 39.91| 0.20|-02 39 46.1| 3.1|   11.79|   1.23
346.61292|-25.11525|2306.4-2506 |23 06 27.10| 0.21|-25 06 54.9| 3.1|   11.79|   1.21
146.32512|-19.89064|0945.3-1953 |09 45 18.03| 0.22|-19 53 26.3| 3.1|   11.80|   1.22
111.09946|+15.21856|0724.3+1513 |07 24 23.87| 0.20|+15 13 06.8| 3.1|   11.81|   1.21
208.07396|+31.44394|1352.2+3126 |13 52 17.75| 0.23|+31 26 38.2| 3.1|   11.81|   1.19
249.95575|+10.48078|1639.8+1028 |16 39 49.38| 0.20|+10 28 50.8| 3.1|   11.81|   1.21
003.07521|-33.36375|0012.3-3321 |00 12 18.05| 0.23|-33 21 49.5| 3.1|   11.82|   1.22
080.88679|-32.85681|0523.5-3251 |05 23 32.83| 0.49|-32 51 24.5| 6.6|   11.82|   1.55
225.90546|-14.96453|1503.6-1457 |15 03 37.31| 0.20|-14 57 52.3| 3.1|   11.82|   1.22
009.44033|+38.79886|0037.7+3847 |00 37 45.68| 0.27|+38 47 55.9| 3.1|   11.83|   1.22
079.89071|+27.73444|0519.5+2744 |05 19 33.77| 0.23|+27 44 04.0| 3.2|   11.83|   1.22
357.89387|-16.12822|2351.5-1607 |23 51 34.53| 0.20|-16 07 41.6| 3.1|   11.83|   1.21
335.55425|+72.34597|2222.2+7220 |22 22 13.02| 0.64|+72 20 45.5| 3.1|   11.84|   1.21
343.54421|+11.61250|2254.1+1136 |22 54 10.61| 0.20|+11 36 45.0| 3.2|   11.84|   1.24
175.11525|+12.05244|1140.4+1203 |11 40 27.66| 0.20|+12 03 08.8| 3.2|   11.86|   1.22
348.22279|+59.65428|2312.8+5939 |23 12 53.47| 0.86|+59 39 15.4| 6.8|   11.86|   1.75
312.78808|-14.57856|2051.1-1434 |20 51 09.14| 0.20|-14 34 42.8| 3.1|   11.88|   1.22
071.18379|-28.86350|0444.7-2851 |04 44 44.11| 0.22|-28 51 48.6| 3.1|   11.89|   1.23
269.36104| +7.52319|1757.4+0731 |17 57 26.65| 0.20|+07 31 23.5| 3.1|   11.91|   1.23
171.53529|+30.06022|1126.1+3003 |11 26 08.47| 0.22|+30 03 36.8| 3.1|   11.92|   1.22
069.40296|-29.90122|0437.6-2954 |04 37 36.71| 0.22|-29 54 04.4| 3.1|   11.93|   1.23
131.70479|-29.71186|0846.8-2942 |08 46 49.15| 0.22|-29 42 42.7| 3.1|   11.93|   1.22
239.04179|+20.07194|1556.1+2004 |15 56 10.03| 0.20|+20 04 19.0| 3.1|   11.93|   1.20
321.75746|+35.12983|2127.0+3507 |21 27 01.79| 0.24|+35 07 47.4| 3.1|   11.93|   1.22
289.19087|+55.73103|1916.7+5543 |19 16 45.81| 0.37|+55 43 51.7| 3.1|   11.94|   1.23
317.33879|+29.07086|2109.3+2904 |21 09 21.31| 0.22|+29 04 15.1| 3.1|   11.94|   1.24
123.19750|+35.85450|0812.7+3551 |08 12 47.40| 0.24|+35 51 16.2| 3.0|   11.95|   1.22
246.31004|+15.75597|1625.2+1545 |16 25 14.41| 0.20|+15 45 21.5| 3.1|   11.95|   1.20
352.14650|-21.09839|2328.5-2105 |23 28 35.16| 0.22|-21 05 54.2| 3.1|   11.97|   1.23
056.58967|-34.36808|0346.3-3422 |03 46 21.52| 0.50|-34 22 05.1| 4.8|   11.98|   1.46
077.54812|-12.17728|0510.1-1210 |05 10 11.55| 0.20|-12 10 38.2| 3.1|   11.98|   1.22
133.36717| -3.68481|0853.4-0341 |08 53 28.12| 0.19|-03 41 05.3| 3.0|   11.98|   1.20
208.22733|+58.41233|1352.9+5824 |13 52 54.56| 0.37|+58 24 44.4| 3.1|   11.98|   1.22
021.49762|+72.76358|0125.9+7245 |01 25 59.43| 0.65|+72 45 48.9| 3.1|   11.99|   1.23
071.16821| +2.79703|0444.6+0247 |04 44 40.37| 0.19|+02 47 49.3| 3.1|   11.99|   1.20
086.88717|+18.61250|0547.5+1836 |05 47 32.92| 0.21|+18 36 45.0| 3.2|   11.99|   1.26
133.45471|-14.46414|0853.8-1427 |08 53 49.13| 0.20|-14 27 50.9| 3.1|   12.01|   1.21
201.91012| -2.05208|1327.6-0203 |13 27 38.43| 0.19|-02 03 07.5| 3.1|   12.01|   1.20
301.71396|+12.00533|2006.8+1200 |20 06 51.35| 0.20|+12 00 19.2| 3.1|   12.01|   1.20
187.55508|+12.10511|1230.2+1206 |12 30 13.22| 0.95|+12 06 18.4| 8.4|   12.03|   2.73
035.76396|+54.81436|0223.0+5448 |02 23 03.35| 0.33|+54 48 51.7| 3.1|   12.06|   1.24
069.48621|+26.46022|0437.9+2627 |04 37 56.69| 0.22|+26 27 36.8| 3.1|   12.06|   1.26
176.61900|-33.47903|1146.4-3328 |11 46 28.56| 0.23|-33 28 44.5| 3.1|   12.06|   1.21
261.31712|+40.60992|1725.2+4036 |17 25 16.11| 0.26|+40 36 35.7| 3.1|   12.06|   1.25
031.32333|-18.01825|0205.2-1801 |02 05 17.60| 0.22|-18 01 05.7| 3.2|   12.08|   1.23
095.71067|+22.00697|0622.8+2200 |06 22 50.56| 0.21|+22 00 25.1| 3.1|   12.08|   1.21
212.05817|+10.16697|1408.2+1010 |14 08 13.96| 0.22|+10 10 01.1| 3.8|   12.08|   1.25
128.17208| -5.54764|0832.6-0532 |08 32 41.30| 0.19|-05 32 51.5| 3.1|   12.09|   1.24
052.61504|+41.02900|0330.4+4101 |03 30 27.61| 0.26|+41 01 44.4| 3.1|   12.10|   1.24
094.38800|+54.07428|0617.5+5404 |06 17 33.12| 0.33|+54 04 27.4| 3.0|   12.10|   1.21
142.56733| +6.26425|0930.2+0615 |09 30 16.16| 0.20|+06 15 51.3| 3.3|   12.10|   1.25
265.41367|+17.34317|1741.6+1720 |17 41 39.28| 0.22|+17 20 35.4| 3.3|   12.10|   1.26
350.92637|+49.99189|2323.7+4959 |23 23 42.33| 0.32|+49 59 30.8| 3.2|   12.11|   1.27
172.55383|-13.32981|1130.2-1319 |11 30 12.92| 0.20|-13 19 47.3| 3.1|   12.12|   1.24
025.36429|-27.10289|0141.4-2706 |01 41 27.43| 0.22|-27 06 10.4| 3.0|   12.13|   1.24
152.61446|+41.54156|1010.4+4132 |10 10 27.47| 0.26|+41 32 29.6| 3.1|   12.13|   1.24
176.22408| -0.52561|1144.8-0031 |11 44 53.78| 0.19|-00 31 32.2| 3.1|   12.14|   1.24
140.55387|-14.48042|0922.2-1428 |09 22 12.93| 0.20|-14 28 49.5| 3.1|   12.16|   1.25
297.66496|+13.00058|1950.6+1300 |19 50 39.59| 0.20|+13 00 02.1| 3.1|   12.16|   1.22
278.42962|+65.36144|1833.7+6521 |18 33 43.11| 0.46|+65 21 41.2| 3.1|   12.17|   1.25
319.57042|+75.19267|2118.2+7511 |21 18 16.90| 0.76|+75 11 33.6| 3.2|   12.17|   1.26
008.47900| -7.50578|0033.9-0730 |00 33 54.96| 0.20|-07 30 20.8| 3.1|   12.18|   1.25
081.56054|+11.67381|0526.2+1140 |05 26 14.53| 0.21|+11 40 25.7| 3.4|   12.20|   1.28
078.95192|+37.92767|0515.8+3755 |05 15 48.46| 0.24|+37 55 39.6| 3.1|   12.22|   1.25
212.08800|+23.78917|1408.3+2347 |14 08 21.12| 0.21|+23 47 21.0| 3.1|   12.22|   1.25
245.67600|-11.48236|1622.7-1128 |16 22 42.24| 0.20|-11 28 56.5| 3.1|   12.24|   1.26
293.21392| -8.29231|1932.8-0817 |19 32 51.34| 0.21|-08 17 32.3| 3.1|   12.24|   1.26
013.32446|+17.90797|0053.2+1754 |00 53 17.87| 0.20|+17 54 28.7| 3.1|   12.25|   1.26
294.22404| -0.36864|1936.8-0022 |19 36 53.77| 0.19|-00 22 07.1| 3.1|   12.25|   1.23
302.35508|+25.09650|2009.4+2505 |20 09 25.22| 0.22|+25 05 47.4| 3.2|   12.25|   1.24
219.23758| +3.40464|1436.9+0324 |14 36 57.02| 0.19|+03 24 16.7| 3.1|   12.26|   1.23
228.88812| -5.54911|1515.5-0532 |15 15 33.15| 0.20|-05 32 56.8| 3.2|   12.26|   1.27
008.31292| +6.47131|0033.2+0628 |00 33 15.10| 0.19|+06 28 16.7| 3.0|   12.30|   1.23
151.85308|+12.81922|1007.4+1249 |10 07 24.74| 0.23|+12 49 09.2| 3.2|   12.31|   1.27
014.59750|+26.86878|0058.3+2652 |00 58 23.40| 0.42|+26 52 07.6| 4.1|   12.32|   1.36
124.39637|+22.62064|0817.5+2237 |08 17 35.13| 0.21|+22 37 14.3| 3.1|   12.32|   1.26
324.45879|-20.70911|2137.8-2042 |21 37 50.11| 0.21|-20 42 32.8| 3.1|   12.32|   1.26
192.20300| +9.27097|1248.8+0916 |12 48 48.72| 0.20|+09 16 15.5| 3.1|   12.33|   1.29
103.28779| +6.30419|0653.1+0618 |06 53 09.07| 0.20|+06 18 15.1| 3.1|   12.34|   1.28
212.56587|+17.56708|1410.2+1734 |14 10 15.81| 0.20|+17 34 01.5| 3.1|   12.34|   1.26
207.09283|+28.54703|1348.3+2832 |13 48 22.28| 0.22|+28 32 49.3| 3.2|   12.35|   1.27
065.51946|+76.45272|0422.0+7627 |04 22 04.67| 0.84|+76 27 09.8| 3.1|   12.36|   1.29
196.97404| +6.70467|1307.8+0642 |13 07 53.77| 0.19|+06 42 16.8| 3.1|   12.36|   1.27
244.31567|+21.12453|1617.2+2107 |16 17 15.76| 0.21|+21 07 28.3| 3.1|   12.36|   1.27
140.54387|+31.18533|0922.1+3111 |09 22 10.53| 0.23|+31 11 07.2| 3.1|   12.37|   1.27
034.28187|+11.07072|0217.1+1104 |02 17 07.65| 0.21|+11 04 14.6| 3.1|   12.38|   1.26
249.15371|+26.80258|1636.6+2648 |16 36 36.89| 0.22|+26 48 09.3| 3.1|   12.38|   1.27
023.81246| +8.18492|0135.2+0811 |01 35 14.99| 0.19|+08 11 05.7| 3.1|   12.39|   1.24
229.25554|-14.13364|1517.0-1408 |15 17 01.33| 0.20|-14 08 01.1| 3.1|   12.39|   1.27
339.40662|-17.21061|2237.6-1712 |22 37 37.59| 0.20|-17 12 38.2| 3.1|   12.39|   1.24
099.65863|-16.82117|0638.6-1649 |06 38 38.07| 0.20|-16 49 16.2| 3.1|   12.42|   1.27
202.82950|+24.84750|1331.3+2450 |13 31 19.08| 0.21|+24 50 51.0| 3.1|   12.42|   1.25
015.68371|-27.52533|0102.7-2731 |01 02 44.09| 0.22|-27 31 31.2| 3.1|   12.43|   1.27
102.29533|+61.65067|0649.1+6139 |06 49 10.88| 0.41|+61 39 02.4| 3.1|   12.43|   1.25
140.71029| -7.24397|0922.8-0714 |09 22 50.47| 0.19|-07 14 38.3| 3.1|   12.43|   1.25
062.91975|+17.23472|0411.6+1714 |04 11 40.74| 0.20|+17 14 05.0| 3.1|   12.45|   1.25
352.99504|+17.48100|2331.9+1728 |23 31 58.81| 0.20|+17 28 51.6| 3.1|   12.45|   1.28
110.55554|-22.13189|0722.2-2207 |07 22 13.33| 0.21|-22 07 54.8| 3.1|   12.46|   1.28
036.22667|+76.93178|0224.9+7655 |02 24 54.40| 0.88|+76 55 54.4| 3.1|   12.47|   1.30
180.24687|+31.55922|1200.9+3133 |12 00 59.25| 0.24|+31 33 33.2| 3.3|   12.47|   1.29
003.97067|+58.62003|0015.8+5837 |00 15 52.96| 0.40|+58 37 12.1| 3.3|   12.48|   1.28
215.90246|-18.26992|1423.6-1816 |14 23 36.59| 0.21|-18 16 11.7| 3.1|   12.48|   1.29
193.66892|-29.25867|1254.6-2915 |12 54 40.54| 1.03|-29 15 31.2|12.3|   12.49|   1.54
051.84729|+12.14375|0327.3+1208 |03 27 23.35| 0.20|+12 08 37.5| 3.1|   12.50|   1.28
052.15242|-28.69769|0328.6-2841 |03 28 36.58| 0.22|-28 41 51.7| 3.1|   12.50|   1.25
105.72446|+44.52050|0702.8+4431 |07 02 53.87| 0.27|+44 31 13.8| 3.1|   12.50|   1.25
194.33658|-33.57819|1257.3-3334 |12 57 20.78| 0.23|-33 34 41.5| 3.1|   12.50|   1.29
